Distance (µm),Mg Ox%,Si Ox%,Ca Ox%,Mn Ox%,Fe Ox%,Ni Ox%,Ti Ox%,K Ox%,Cr Ox%,
121,30.53366,55.19899,1.948714,0.187356,10.43008,0.063228,0.264541,-0.01849,0.54319,
121.5,30.23536,55.00531,1.887734,0.240398,10.26236,-0.027214,0.249796,-0.003792,0.581656,
122,30.72194,55.21446,1.995768,0.230564,10.30444,0.18442,0.22116,-0.014783,0.44837,
122.5,30.54316,55.30117,1.978544,0.253043,10.1353,0.045765,0.201954,-0.006549,0.517348,
123,30.80041,55.12182,2.003155,0.203363,10.30511,0.118126,0.230696,0.002007,0.543666,
123.5,30.65933,55.46385,1.93421,0.284267,10.3737,0.142167,0.23973,0.007545,0.601146,
124,30.60819,55.05804,1.998376,0.150759,10.42786,0.180108,0.210133,0.008996,0.52927,
124.5,30.32753,55.15928,1.928559,0.228384,10.43215,0.027953,0.295678,-0.007668,0.518432,
125,30.17327,54.97555,2.082373,0.229726,10.45255,0.11367,0.286761,0.018327,0.532231,
125.5,29.1828,54.83922,2.59576,0.275625,10.66927,-0.016716,0.41946,-0.008353,0.479426,
126,26.90409,54.26569,3.642747,0.234353,10.80085,-0.0216,0.534297,0.064516,0.477797,
126.5,20.35441,51.62709,7.17759,0.157741,10.56157,0.081715,1.175762,0.137453,0.332573,
127,11.71907,49.60876,9.666098,0.189342,9.250525,0.059613,1.672918,0.30186,0.12026,
127.5,8.151958,48.63695,9.794538,0.192189,9.201645,-0.020545,1.873371,0.418472,0.043889,
128,6.689888,48.76519,9.973651,0.240521,9.767355,0.075516,2.065139,0.413935,0.021768,
128.5,6.27128,49.04025,10.31816,0.162314,10.19737,-0.006443,2.138079,0.35554,0.068944,
129,6.130151,49.17033,10.36533,0.130518,10.5151,-0.018434,2.155019,0.406667,-0.036441,
129.5,6.199547,49.03031,10.282,0.163212,10.77445,0.03241,2.177946,0.421788,0.026952,
130,6.255589,48.98531,10.40994,0.183614,10.61495,0.044933,2.176307,0.392087,0.085064,
130.5,6.519623,49.04982,10.52675,0.157455,10.7261,0.018489,2.198872,0.353457,0.083933,
131,6.240711,48.90153,10.4029,0.153913,10.94657,-0.070334,2.141644,0.360353,-0.049215,
131.5,6.4473,48.66727,10.49938,0.17103,11.01289,0.012698,2.173663,0.315979,0.021116,
132,6.505288,49.13564,10.53728,0.217514,11.08183,0.05251,2.191427,0.324442,0.058133,
132.5,6.494171,48.94005,10.57101,0.230794,11.07994,0.022913,2.168622,0.37234,0.042335,
133,6.658308,49.11491,10.54712,0.166661,10.93543,0.071035,2.148154,0.328422,0.036153,
